===== Optimal =====
Input		Frame1		Frame2		Frame3		Frame4		Frame5		
11		25		11		12		6		13		
26		25		11		26		6		13		PAGE FAULT
6		25		11		26		6		13		
8		25		11		26		6		8		PAGE FAULT
2		25		2		26		6		8		PAGE FAULT
26		25		2		26		6		8		
26		25		2		26		6		8		
23		25		2		26		6		23		PAGE FAULT
30		25		2		26		6		30		PAGE FAULT
25		25		2		26		6		30		
4		25		4		26		6		30		PAGE FAULT
25		25		4		26		6		30		
26		25		4		26		6		30		
26		25		4		26		6		30		
19		19		4		26		6		30		PAGE FAULT
29		19		29		26		6		30		PAGE FAULT
29		19		29		26		6		30		
21		19		21		26		6		30		PAGE FAULT
10		19		21		10		6		30		PAGE FAULT
17		19		17		10		6		30		PAGE FAULT
10		19		17		10		6		30		
19		19		17		10		6		30		
6		19		17		10		6		30		
6		19		17		10		6		30		
5		19		17		10		5		30		PAGE FAULT
20		19		20		10		5		30		PAGE FAULT
5		19		20		10		5		30		
16		19		16		10		5		30		PAGE FAULT
30		19		16		10		5		30		
16		19		16		10		5		30		
28		28		16		10		5		30		PAGE FAULT
2		28		16		10		2		30		PAGE FAULT
30		28		16		10		2		30		
21		28		16		10		21		30		PAGE FAULT
8		28		16		10		21		8		PAGE FAULT
26		28		16		10		26		8		PAGE FAULT
9		28		16		10		9		8		PAGE FAULT
4		28		16		10		4		8		PAGE FAULT
14		28		16		10		14		8		PAGE FAULT
8		28		16		10		14		8		
10		28		16		10		14		8		
18		28		16		18		14		8		PAGE FAULT
1		28		16		1		14		8		PAGE FAULT
15		28		16		1		14		15		PAGE FAULT
28		28		16		1		14		15		
16		28		16		1		14		15		
5		28		16		1		14		5		PAGE FAULT
4		28		16		1		4		5		PAGE FAULT
4		28		16		1		4		5		
9		28		16		1		9		5		PAGE FAULT
1		28		16		1		9		5		
23		28		16		23		9		5		PAGE FAULT
3		28		16		23		9		3		PAGE FAULT
21		28		16		23		9		21		PAGE FAULT
28		28		16		23		9		21		
16		28		16		23		9		21		
23		28		16		23		9		21		
16		28		16		23		9		21		
19		28		16		19		9		21		PAGE FAULT
9		28		16		19		9		21		
5		5		16		19		9		21		PAGE FAULT
9		5		16		19		9		21		
29		5		16		19		29		21		PAGE FAULT
5		5		16		19		29		21		
27		5		16		27		29		21		PAGE FAULT
17		5		16		17		29		21		PAGE FAULT
14		5		16		17		29		14		PAGE FAULT
17		5		16		17		29		14		
29		5		16		17		29		14		
8		5		16		17		8		14		PAGE FAULT
6		5		16		17		8		6		PAGE FAULT
25		5		16		17		8		25		PAGE FAULT
5		5		16		17		8		25		
8		5		16		17		8		25		
16		5		16		17		8		25		
17		5		16		17		8		25		
30		30		16		17		8		25		PAGE FAULT
21		30		16		21		8		25		PAGE FAULT
2		30		2		21		8		25		PAGE FAULT
6		30		6		21		8		25		PAGE FAULT
11		30		6		11		8		25		PAGE FAULT
20		30		6		20		8		25		PAGE FAULT
24		30		24		20		8		25		PAGE FAULT
25		30		24		20		8		25		
3		30		3		20		8		25		PAGE FAULT
14		30		3		20		14		25		PAGE FAULT
27		30		27		20		14		25		PAGE FAULT
7		30		7		20		14		25		PAGE FAULT
18		30		18		20		14		25		PAGE FAULT
14		30		18		20		14		25		
15		30		15		20		14		25		PAGE FAULT
14		30		15		20		14		25		
30		30		15		20		14		25		
10		30		15		20		10		25		PAGE FAULT
25		30		15		20		10		25		
19		30		15		20		19		25		PAGE FAULT
28		30		15		20		19		28		PAGE FAULT
15		30		15		20		19		28		
29		30		15		20		19		29		PAGE FAULT
20		30		15		20		19		29		
3		30		15		20		19		3		PAGE FAULT
8		30		15		20		19		8		PAGE FAULT
24		24		15		20		19		8		PAGE FAULT
20		24		15		20		19		8		
7		7		15		20		19		8		PAGE FAULT
7		7		15		20		19		8		
6		6		15		20		19		8		PAGE FAULT
8		6		15		20		19		8		
15		6		15		20		19		8		
13		6		15		13		19		8		PAGE FAULT
19		6		15		13		19		8		
21		6		15		21		19		8		PAGE FAULT
12		6		15		21		19		12		PAGE FAULT
16		6		15		21		19		16		PAGE FAULT
30		6		15		30		19		16		PAGE FAULT
3		6		3		30		19		16		PAGE FAULT
3		6		3		30		19		16		
19		6		3		30		19		16		
6		6		3		30		19		16		
30		6		3		30		19		16		
16		6		3		30		19		16		
29		29		3		30		19		16		PAGE FAULT
15		29		3		30		19		15		PAGE FAULT
21		29		3		30		19		21		PAGE FAULT
8		29		3		30		19		8		PAGE FAULT
20		29		3		30		19		20		PAGE FAULT
17		29		3		30		19		17		PAGE FAULT
30		29		3		30		19		17		
25		29		3		25		19		17		PAGE FAULT
23		29		3		23		19		17		PAGE FAULT
29		29		3		23		19		17		
23		29		3		23		19		17		
13		13		3		23		19		17		PAGE FAULT
17		13		3		23		19		17		
4		4		3		23		19		17		PAGE FAULT
11		4		3		11		19		17		PAGE FAULT
17		4		3		11		19		17		
3		4		3		11		19		17		
17		4		3		11		19		17		
4		4		3		11		19		17		
19		4		3		11		19		17		
18		18		3		11		19		17		PAGE FAULT
12		18		12		11		19		17		PAGE FAULT
23		18		23		11		19		17		PAGE FAULT
13		18		13		11		19		17		PAGE FAULT
18		18		13		11		19		17		
5		18		5		11		19		17		PAGE FAULT
2		18		2		11		19		17		PAGE FAULT
8		18		8		11		19		17		PAGE FAULT
22		18		22		11		19		17		PAGE FAULT
18		18		22		11		19		17		
14		14		22		11		19		17		PAGE FAULT
27		27		22		11		19		17		PAGE FAULT
25		27		25		11		19		17		PAGE FAULT
29		27		29		11		19		17		PAGE FAULT
27		27		29		11		19		17		
7		7		29		11		19		17		PAGE FAULT
17		7		29		11		19		17		
29		7		29		11		19		17		
19		7		29		11		19		17		
19		7		29		11		19		17		
16		16		29		11		19		17		PAGE FAULT
HIT 개수: 220, HIT 비율: 44.0%
PAGE FAULT 개수: 280, PAGE FAULT 비율: 56.0%
